KEY_DISTRITO,KEY_SECCION,Antig_1901_a_1940,Antig_1941_a_1950,Antig_1951_a_1960,Antig_1961_a_1970,Antig_1971_a_1980,Antig_1981_a_1990,Antig_1991_a_2000,Antig_2001_a_2010,Antig_2011_a_2020,Antig_2021_a_2030,Antig_Menor_1901
02,156,9,2,2,6,5,1,0,0,1,0,0
02,157,8,1,4,14,4,0,0,0,1,0,1
02,158,20,5,2,3,12,8,1,0,0,0,11
02,159,68,3,3,2,3,1,7,1,1,0,1
02,160,44,8,4,8,6,3,4,1,1,0,11
02,161,29,1,0,2,8,2,4,1,0,0,4
02,162,26,0,4,16,6,2,1,0,1,0,1
02,163,24,8,6,6,11,1,3,2,1,0,22
02,164,7,5,5,2,6,1,4,3,0,1,74
02,165,8,2,4,2,9,1,2,5,0,0,40
02,166,36,1,6,12,34,4,7,4,2,0,50
02,167,29,0,1,11,17,5,2,3,0,0,4
02,168,25,0,9,7,15,1,5,10,0,0,30
02,169,13,1,1,3,0,3,3,4,2,0,70
02,170,2,0,8,5,4,5,1,5,0,0,43
02,171,18,0,2,15,5,1,1,0,0,0,23
02,172,40,2,6,2,8,0,5,2,1,0,37
02,173,3,0,1,8,14,1,0,2,0,0,42
03,001,18,1,2,18,14,0,5,3,0,0,3
03,002,59,5,8,6,12,3,1,4,1,0,17
03,003,53,4,1,8,6,2,0,0,0,1,8
03,004,36,4,7,0,10,7,1,3,0,0,13
03,005,25,8,7,4,7,4,5,4,0,0,0
03,006,15,12,25,5,2,2,5,5,0,0,8
03,007,16,0,4,18,4,2,8,5,1,0,25
03,008,30,0,2,9,10,3,1,3,0,0,18
03,009,28,2,3,17,0,1,0,4,0,0,3
03,010,62,0,8,9,5,1,1,3,0,1,13
03,011,36,4,9,4,4,0,5,1,1,0,65
03,012,44,5,7,4,7,2,2,0,2,0,49
03,013,74,3,8,9,5,3,0,4,1,0,36
03,014,64,4,8,5,11,0,0,2,0,0,31
03,015,77,9,3,21,2,4,9,1,2,1,57
03,016,20,5,2,10,2,0,5,3,0,0,13
03,017,68,4,11,3,6,3,3,1,0,1,29
03,018,20,0,0,11,8,4,2,0,0,0,6
03,019,31,0,10,17,10,6,6,1,0,0,4
03,020,6,4,7,4,18,7,5,3,0,1,0
03,021,1,1,0,10,7,1,2,0,0,0,1
03,022,28,0,1,5,12,0,2,9,1,0,4
03,023,38,2,3,5,12,2,6,7,1,1,26
03,024,179,34,15,41,26,9,18,8,2,1,45
03,025,59,22,17,96,163,124,134,71,46,63,1
03,026,0,0,0,6,7,0,0,3,1,0,0
03,027,0,0,5,8,4,0,8,4,0,0,0
03,028,1,0,2,0,4,1,7,33,9,0,0
03,029,0,0,0,2,0,0,14,14,0,0,0
03,030,0,0,5,14,0,10,1,0,6,4,0
03,031,1,0,0,0,32,3,1,0,0,0,0
03,032,25,10,8,7,1,5,5,32,8,0,8
03,033,72,7,9,13,1,0,1,0,0,0,0
03,034,0,0,0,2,4,7,0,0,0,0,0
03,035,0,0,0,5,4,2,0,0,0,0,0
03,036,0,0,0,18,4,4,3,3,0,0,0
03,037,0,0,1,0,2,4,0,0,0,0,0
03,038,1,0,0,16,8,25,0,0,0,6,2
03,039,1,0,9,39,0,0,1,29,4,1,0
03,040,0,0,0,2,2,0,5,0,0,0,0
03,041,2,0,5,6,3,0,2,0,0,0,0
03,042,64,5,15,20,5,28,10,16,1,1,10
03,043,31,5,7,10,10,3,7,5,0,0,0
03,044,13,10,9,7,8,2,2,12,0,0,0
03,045,9,1,7,3,5,0,2,5,3,1,7
03,046,4,0,2,2,20,2,4,2,0,2,5
03,047,42,0,7,12,19,3,9,11,2,0,37
03,048,12,4,6,10,9,6,8,5,0,0,37
03,049,29,7,1,2,18,2,10,5,3,2,41
03,050,40,0,1,8,17,6,5,20,4,1,35
03,051,37,9,8,8,17,9,5,9,2,0,45
03,052,46,1,17,23,8,0,7,7,0,0,28
03,053,85,3,11,10,11,6,8,11,5,2,25
03,054,16,3,2,3,5,9,5,3,0,0,5
03,055,7,0,7,3,12,2,2,3,0,0,0
03,056,1,1,1,15,7,1,0,0,2,0,0
03,057,13,1,3,21,8,7,2,5,0,0,6
03,058,9,2,3,14,9,1,13,8,3,1,9
03,059,12,2,1,15,5,0,1,4,0,3,4
03,060,10,0,3,11,8,12,3,6,2,0,2
03,061,10,1,21,9,2,4,2,1,0,0,6
03,062,55,7,6,13,10,2,2,7,0,0,23
03,063,55,1,4,33,7,8,6,11,6,0,20
03,064,1,1,0,2,7,0,5,10,0,2,0
03,065,0,0,0,0,9,8,1,0,0,0,0
03,066,1,0,7,5,11,0,8,3,0,0,3
03,067,0,3,0,8,13,0,3,0,3,0,2
03,068,4,0,0,11,4,5,0,1,0,0,0
03,069,0,1,2,4,8,7,4,0,0,0,0
03,070,14,5,5,7,4,7,1,1,0,0,1
03,071,24,3,2,11,7,0,1,7,3,1,1
03,072,38,0,2,5,12,1,1,0,1,0,1
03,073,38,4,22,2,19,2,3,8,1,0,2
03,074,11,3,13,11,14,4,2,19,2,0,7
03,075,13,2,8,17,6,6,4,3,8,2,2
03,076,6,1,6,10,12,1,3,5,0,2,0
03,077,6,5,10,27,9,4,4,7,1,1,0
03,078,12,2,16,21,2,4,8,7,1,0,2
03,079,46,3,12,23,10,5,4,1,1,0,0
03,080,17,0,1,23,13,2,7,11,1,0,1
03,081,25,3,8,13,14,3,8,6,0,0,2
03,082,46,3,5,20,8,1,9,16,4,0,2
03,083,30,6,3,4,15,5,4,4,0,0,6
03,084,14,0,1,7,20,2,1,3,0,0,0
03,085,25,3,6,11,6,3,6,0,1,0,1
03,086,0,0,3,8,13,5,1,0,0,0,0
03,087,8,1,5,9,17,0,1,2,0,0,0
03,088,9,1,5,14,12,1,0,3,0,0,10
03,089,10,3,5,21,9,3,6,5,0,0,5
03,090,4,1,25,0,0,1,20,3,0,0,2
03,091,39,8,19,15,3,2,15,5,1,1,53
03,092,44,5,7,17,12,8,5,39,1,0,10
03,093,15,1,3,3,5,12,5,3,0,0,3
03,094,31,8,12,21,7,5,7,9,1,2,20
03,095,26,3,6,18,8,9,6,8,2,0,6
03,096,56,5,2,8,5,8,2,7,0,0,15
03,097,64,3,20,6,0,1,1,4,1,0,0
03,098,49,12,11,13,10,3,14,2,4,0,31
03,099,34,7,8,9,2,2,2,3,2,0,56
03,100,56,4,6,25,12,2,2,5,1,0,28
03,101,39,3,17,17,11,3,7,3,1,1,24
03,102,43,4,7,8,10,0,10,5,1,2,8
03,103,2,0,0,5,15,3,1,0,0,2,8
03,104,41,5,2,9,14,3,15,6,1,0,56
03,105,48,5,3,12,8,4,5,6,1,0,36
03,106,44,1,3,4,5,9,3,11,0,0,78
