KEY_DISTRITO,KEY_SECCION,Renda_Media_Euros
08,030,17992
08,031,18605
08,032,19290
08,033,16200
08,034,15669
08,035,18517
08,036,15265
08,037,17333
08,038,16048
08,039,16899
08,040,14803
08,041,12691
08,042,19156
08,043,17806
08,044,14895
08,045,14644
08,046,16448
08,047,13864
08,048,13060
08,049,16104
08,050,22846
08,051,20901
08,052,19848
08,053,22200
08,054,19726
08,055,24182
08,056,18071
08,057,19090
08,058,17557
08,059,18568
08,060,20441
08,061,18152
08,062,19957
08,063,21996
08,064,17417
08,065,13512
08,066,12710
08,067,15844
08,068,13577
08,069,13900
08,070,13588
08,071,14665
08,072,16226
08,073,12531
08,074,13673
08,075,15927
08,076,16526
08,077,13873
08,078,14750
08,079,14573
08,080,15570
08,081,13872
08,082,16018
08,083,16120
08,084,17480
08,085,16020
08,086,16763
08,087,16875
08,088,16395
08,089,17192
08,090,17676
08,091,17330
08,092,18226
08,093,16444
08,094,17553
08,095,20457
08,096,17424
08,097,16585
08,098,15885
08,099,15910
08,100,16303
08,101,17362
08,102,14765
08,103,12476
08,104,14232
08,105,14512
08,106,13229
08,107,14515
08,108,12951
08,109,12687
08,110,10703
08,111,11465
08,112,12000
08,113,11690
08,114,12653
08,115,12268
08,116,13420
08,215,20187
09,001,11277
09,002,12393
09,003,13022
09,004,13679
09,005,17357
09,006,14087
09,007,13270
09,008,24696
09,009,19108
09,010,17028
09,011,14841
09,013,12416
09,014,14732
09,015,14743
09,016,21314
09,017,22016
09,018,20929
09,019,22931
09,020,22242
09,021,23321
09,022,24586
09,023,23648
09,024,23373
09,025,23950
09,026,24432
09,027,23471
09,028,26624
09,029,21277
09,030,23353
09,031,23746
09,032,18070
09,033,21203
09,034,18569
09,035,21231
09,036,22005
09,037,18399
09,038,22418
09,039,21937
09,040,23237
09,041,20990
09,042,23540
09,043,21034
09,044,22297
09,045,22165
09,046,23688
09,047,23996
09,048,21629
09,049,20657
09,050,22618
09,051,23330
09,052,22080
09,053,23773
09,054,23239
09,055,17337
09,056,21923
09,057,19893
09,058,22175
09,059,21973
09,060,20304
09,061,23549
09,062,22296
09,063,24254
09,064,21811
09,065,20264
09,066,23978
09,067,19402
09,068,22022
09,069,20853
09,070,15935
09,071,19497
09,072,17767
09,073,21485
09,074,19705
09,075,19142
09,076,19956
09,077,21565
09,078,21894
09,079,21693
09,080,22030
09,081,21234
09,082,20410
09,083,21167
09,084,22999
09,085,21830
09,086,20936
09,087,23036
09,088,19745
09,089,20243
09,090,19808
09,091,21198
09,092,21636
09,093,21622
09,094,21764
09,095,21868
09,156,19372
10,001,19961
10,002,21259
10,003,21904
10,004,21144
10,005,22222
10,006,24482
10,007,28803
10,008,22879
10,009,23043
10,010,21641
10,011,24347
10,012,23365
10,013,22895
10,014,22218
10,015,22038
10,016,23922
10,017,22146
10,018,20701
10,019,22131
10,020,20356
10,021,19977
10,022,21967
10,023,21595
10,024,22711
10,025,21551
10,026,23784
10,027,22318
10,028,21169
10,029,20908
10,030,21166
10,031,21701
10,032,23539
10,033,24547
10,034,20932
10,035,23664
10,036,24463
10,037,17614
10,038,23076
10,039,20676
10,040,21704
10,041,22296
10,042,20128
10,043,22526
10,044,22594
10,045,25267
10,046,24875
10,047,24245
10,048,25433
10,049,22686
10,050,24492
10,051,24673
10,052,32434
10,053,39389
10,054,30270
10,055,33672
10,056,21064
10,057,21136
10,058,21303
10,059,24881
10,060,21734
10,061,24864
10,062,23579
10,063,24047
10,064,25068
10,065,24311
10,066,24252
10,067,31046
10,068,26477
10,069,27283
10,070,22648
10,071,25325
10,072,23180
10,073,20956
10,074,21294
10,075,20981
10,076,25619
10,077,28807
10,078,29100
10,079,24494
10,080,31237
10,081,16780
10,082,10515
10,083,9572
10,084,12536
10,085,11679
10,086,13735
10,087,13547
10,088,18730
10,089,13692
10,090,15516
10,091,17489
10,092,20616
10,093,21547
10,094,23220
10,095,19213
10,096,24078
10,097,24989
10,098,23393
10,099,16386
10,100,18450
10,101,18647
10,102,18409
10,103,20021
10,104,22703
10,105,20822
10,106,20250
10,107,24358
10,108,19937
10,109,18685
10,110,18420
10,111,19560
10,112,23056
10,113,19093
10,114,16398
10,115,18000
10,116,17523
10,117,19259
10,118,23501
10,119,17443
10,120,18414
10,121,17734
10,122,22071
10,123,20091
10,124,20263
10,125,18186
10,126,19505
10,127,20864
10,128,21346
10,129,21053
10,130,19804
10,131,23106
10,132,17613
10,133,17163
10,134,17326
10,135,17668
10,136,17681
10,137,16165
10,138,14054
10,139,15838
10,140,15926
10,141,16256
10,142,15399
10,143,16402
10,234,21047
10,235,18576
10,236,19369
10,237,17676
